1,7,&,5,11,&,7,13,&,11,17,&,13,19,&,17,23,&,23,29,&,31,37,&,37,43,&,41,47
47,53,&,53,59,&,61,67,&,67,73,&,73,79,&,83,89,&,97,103,&,101,107,&,103,109,&,107,113
131,137,&,151,157,&,157,163,&,167,173,&,173,179,&,191,197,&,193,199,&,223,229,&,227,233,&,233,239
251,257,&,257,263,&,263,269,&,271,277,&,277,283,&,307,313,&,311,317,&,331,337,&,347,353,&,353,359
367,373,&,373,379,&,383,389,&,433,439,&,443,449,&,457,463,&,461,467,&,503,509,&,541,547,&,557,563
563,569,&,571,577,&,587,593,&,593,599,&,601,607,&,607,613,&,613,619,&,641,647,&,647,653,&,653,659
677,683,&,727,733,&,733,739,&,751,757,&,821,827,&,823,829,&,853,859,&,857,863,&,877,883,&,881,887
941,947,&,947,953,&,971,977,&,977,983,&,991,997,&,1013,1019,&,1033,1039,&,1063,1069,&,1087,1093,&,1091,1097
1097,1103,&,1103,1109,&,1117,1123,&,1123,1129,&,1181,1187,&,1187,1193,&,1217,1223,&,1223,1229,&,1231,1237,&,1277,1283
1283,1289,&,1291,1297,&,1297,1303,&,1301,1307,&,1321,1327,&,1361,1367,&,1367,1373,&,1423,1429,&,1427,1433,&,1433,1439
1447,1453,&,1453,1459,&,1481,1487,&,1483,1489,&,1487,1493,&,1493,1499,&,1543,1549,&,1553,1559,&,1601,1607,&,1607,1613
1613,1619,&,1621,1627,&,1657,1663,&,1663,1669,&,1693,1699,&,1741,1747,&,1747,1753,&,1753,1759,&,1777,1783,&,1783,1789
1861,1867,&,1867,1873,&,1871,1877,&,1873,1879,&,1901,1907,&,1907,1913,&,1973,1979,&,1987,1993,&,1993,1999,&,1997,2003
2011,2017,&,2063,2069,&,2081,2087,&,2083,2089,&,2131,2137,&,2137,2143,&,2207,2213,&,2237,2243,&,2267,2273,&,2281,2287
2287,2293,&,2333,2339,&,2341,2347,&,2351,2357,&,2371,2377,&,2377,2383,&,2383,2389,&,2393,2399,&,2411,2417,&,2417,2423
2441,2447,&,2467,2473,&,2543,2549,&,2551,2557,&,2657,2663,&,2671,2677,&,2677,2683,&,2683,2689,&,2687,2693,&,2693,2699
2707,2713,&,2713,2719,&,2791,2797,&,2797,2803,&,2837,2843,&,2851,2857,&,,,,,,,,,,,
